,u,v,length,highway,name,maxspeed
4419,648491480,648491504,33.05642873200703,residential,宝通路,
4420,648491480,648491478,280.6066422041702,residential,天通庵路,
4421,648491484,648491485,207.64731274540637,residential,天通庵路,
4422,648491484,477418779,130.40169672331265,residential,宝昌路,
4423,648491484,648491493,142.5462591157095,residential,宝昌路,
4424,648491484,12842326991,155.38232712931207,residential,天通庵路,
4425,648491485,648491484,207.64731274540637,residential,天通庵路,
4426,648491485,648491486,117.98964328972345,residential,天通庵路,
4427,648491485,648491508,154.79034765024954,residential,通阁路,
4428,648491486,648491487,263.53166895030586,residential,天通庵路,
4429,648491486,648491485,117.98964328972345,residential,天通庵路,
4430,648491486,648491509,145.15448202265753,residential,止园路,
4431,648491486,648491565,202.39998638279226,residential,止园路,
4432,648491487,648491488,16.515790437594475,residential,天通庵路,
4433,648491487,648491486,263.53166895030586,residential,天通庵路,
4434,648491487,648491522,65.62341348780768,secondary,西藏北路,
4435,648491488,648491487,16.515790437594475,residential,天通庵路,
4436,648491488,624788589,215.02903711801235,secondary,西藏北路,
4437,648491493,648491505,91.86131889654091,tertiary,芷江中路,
4438,648491493,648491495,308.92361068813705,residential,宝昌路,
4439,648491493,648491484,142.54625911570946,residential,宝昌路,
4440,648491493,648491508,178.31103708631156,tertiary,芷江中路,
4441,648491495,10258151858,147.9106621199221,residential,青云路,
4442,648491495,648491493,308.92361068813705,residential,宝昌路,
4443,648491495,648491496,41.42560225582666,residential,青云路,
4444,648491496,648491495,41.42560225582666,residential,青云路,
4445,648491501,9778574563,5.503175442181922,residential,宝通路,
4446,648491501,639334152,69.92353848977618,secondary,宝山路,
4447,648491501,1641955636,163.5156372349319,residential,宝通路,
4448,648491503,1641955636,9.630188063897812,residential,宝通路,
4449,648491503,648491504,154.10374086325268,residential,宝通路,
4450,648491503,477410226,156.83310300234444,secondary,中兴路,
4451,648491504,1641955640,111.8909031160818,residential,中华新路,
4452,648491504,648491480,33.05642873200703,residential,宝通路,
4453,648491504,648491503,154.10374086325268,residential,宝通路,
4454,648491505,12842326991,143.01957518772306,residential,宝通路,
4455,648491505,648491493,91.86131889654091,tertiary,芷江中路,
4456,648491505,475397521,276.8900474097648,tertiary,芷江中路,
4457,648491508,648491509,146.1847921092359,tertiary,芷江中路,
4458,648491508,10258151855,247.0296893834593,residential,通阁路,
4459,648491508,648491493,178.31103708631156,tertiary,芷江中路,
4460,648491508,648491485,154.79034765024954,residential,通阁路,
4461,648491509,648491528,323.8074553762287,residential,止园路,
4462,648491509,648491510,219.9432571270814,tertiary,芷江中路,
4463,648491509,648491508,146.1847921092359,tertiary,芷江中路,
4464,648491509,648491486,145.15448202265753,residential,止园路,
4465,648491510,648491511,16.28977638779294,tertiary,芷江中路,
4466,648491510,648491509,219.9432571270814,tertiary,芷江中路,
4467,648491510,648491527,385.11555484284764,secondary,西藏北路,
4468,648491511,648491510,16.28977638779294,tertiary,芷江中路,
4469,648491511,648491521,67.98855222392535,secondary,西藏北路,
4470,648491511,827637344,356.30755859049395,tertiary,芷江西路,
4471,648491521,648491522,17.014228903861493,residential,南山路,
4472,648491521,827637472,353.80020149195394,residential,南山路,
4473,648491521,648491488,70.86784118468742,secondary,西藏北路,
4474,648491522,648491521,17.014228903861493,residential,南山路,
4475,648491522,648491510,71.60719154368354,secondary,西藏北路,
4476,648491526,648491527,14.979932381600968,residential,青云路,
4477,648491526,648491511,384.3633741038401,secondary,西藏北路,
4478,648491526,13279033125,248.69323096662458,residential,"['和田路', '青云路']",
4479,648491527,648491528,108.20553646331567,residential,青云路,
4480,648491527,648491526,14.979932381600968,residential,青云路,
4481,648491527,624788785,165.4089633248539,secondary,西藏北路,
4482,648491528,648491527,108.20553646331567,residential,青云路,
4483,648491528,648491509,323.8074553762287,residential,止园路,
4484,648491528,10258151858,182.07040461590242,residential,青云路,
4485,648491528,648491533,180.1872718907814,residential,止园路,
4486,648491533,648491528,180.1872718907814,residential,止园路,
4487,648491539,648491550,97.21962426564147,residential,公兴路,
4488,648491539,648491540,140.9648930817032,residential,临山路,
4489,648491540,1641955554,138.35044221435317,tertiary,鸿兴路,
4490,648491540,648491573,94.32781733876516,tertiary,鸿兴路,
4491,648491540,648491542,166.22349038776346,residential,临山路,
4492,648491540,648491539,140.9648930817032,residential,临山路,
4493,648491542,639341155,81.48432154559164,residential,宝昌路,
4494,648491542,648491540,166.22349038776346,residential,临山路,
4495,648491547,648491565,164.97641346603763,residential,中华新路,
4496,648491547,477408400,119.05374836115408,residential,中华新路,
4497,648491547,1641955514,102.43765900781432,residential,公兴路,
4498,648491549,648491539,111.50834267050041,residential,公兴路,
4499,648491549,1641955554,123.18622855874801,secondary,中兴路,
4500,648491550,461673893,247.80078706069835,residential,公兴路,
4501,648491550,648491552,269.6595313841829,tertiary,永兴路,
4502,648491552,461673909,149.785192041632,residential,会文路,
4503,648491552,648491572,313.84666924594745,tertiary,永兴路,
4504,648491552,648491557,178.87092906012896,residential,会文路,
4505,648491557,648491552,178.87092906012893,residential,会文路,
4506,648491557,648491560,40.85895330236664,secondary,中兴路,
4507,648491560,1632952368,9.641472776452906,residential,止园路,
4508,648491560,648491549,277.6157856115879,secondary,中兴路,
4509,648491565,648491486,202.39998638279226,residential,止园路,
4510,648491565,1632952368,203.9055582460706,residential,止园路,
4511,648491565,648491547,164.9764134660376,residential,中华新路,
4512,648491565,624788781,276.072981711174,residential,中华新路,
4513,648491571,662710500,162.79275518258686,tertiary,永兴路,
4514,648491571,624788590,116.8608474769482,secondary,西藏北路,
4515,648491572,648491571,11.770031046910187,tertiary,永兴路,
4516,648491572,624788779,200.0848933023674,secondary,西藏北路,
4517,648491573,648491550,141.8910939334135,tertiary,永兴路,
4518,648491573,648491540,94.32781733876516,tertiary,鸿兴路,
4519,648491573,1842807919,119.22754467172541,tertiary,鸿兴路,
4520,648491575,648491576,35.498727491119794,tertiary,永兴路,
4521,648491575,486604900,168.0565436768254,primary,共和新路,
4522,648491576,662710512,148.7242822875029,residential,共和新路,
4523,648491576,648491578,197.74345826332205,tertiary,永兴路,
4524,648491576,648491575,35.498727491119794,tertiary,永兴路,
4525,648491576,7602404227,405.2530456861928,primary,共和新路,
4526,648491578,662710477,184.7575510541854,residential,长兴路,
4527,648491578,1640516500,232.39071740327594,tertiary,永兴路,
4528,648491578,648491576,197.74345826332205,tertiary,永兴路,
4529,648491584,639341145,183.32471611999026,residential,宝源路,
4530,648491584,1865212854,149.757317336528,residential,,
4531,648491584,648491585,125.61315986249119,residential,宝源路,
4532,648491585,648491589,77.63996494584747,residential,启东路,
4533,648491585,639341149,132.85605936493994,residential,宝源路,
4534,648491585,648491584,125.61315986249119,residential,宝源路,
4535,648491586,639341149,115.629956200733,residential,宝通路,
